species,j,k,eta,sigma_mu
d,2.995326,1.262257,1.851175,0.004350
d,67.510735,0.653464,1.393337,0.005464
d,22.605949,0.512323,1.738603,0.001430
d,28.888033,0.325531,1.250744,0.005292
d,6.544995,1.477030,1.552671,0.002596
d,31.532211,0.509106,1.400054,0.006406
d,403.643127,0.054941,2.117209,0.003760
d,108.424942,0.690719,1.941556,0.003309
d,504.177368,0.249439,1.477397,0.002346
d,108.036758,0.450016,0.306731,0.003445
d,1.078377,0.917459,1.966687,0.002205
d,-1.291897,0.161511,1.598517,0.002714
d,734.162354,0.170159,1.956190,0.005675
d,671.014099,0.138537,0.958996,0.004123
d,7.657670,1.101715,1.259023,0.002606
d,21.128738,1.051499,1.547598,0.002836
d,364.098969,0.292698,0.833427,0.007167
d,11.920137,1.361385,1.459291,0.002989
d,-5.651210,0.462061,3.402544,0.005395
d,92.152359,0.306755,1.807631,0.002785
d,29.602201,0.537555,1.662926,0.006534
d,59.688454,0.080352,2.603517,0.000712
d,8.073965,0.488026,2.146364,0.002716
d,0.504976,0.458721,3.238298,0.012104
d,2.197582,1.142257,1.877924,0.004323
d,-4.207902,0.450019,2.207107,0.005416
d,17.605240,0.314310,1.848678,0.001423
d,-0.262727,0.809927,2.937052,0.006420
d,1547.017944,0.093416,1.742930,0.001467
d,26.820850,0.919548,1.404138,0.003017
d,3.404329,0.800485,1.440444,0.003860
d,-1.679540,1.477610,2.404474,0.001710
d,2.648487,0.857298,1.539172,0.002465
d,395.447174,0.149190,1.587576,0.001352
d,153.764969,0.438923,1.304512,0.006310
d,1.996578,1.423917,2.273154,0.003031
d,3.092896,0.660990,0.982213,0.009605
d,370.659698,0.092074,1.623196,0.005342
d,26.378166,0.298897,1.630677,0.005959
d,2.882752,0.996879,1.760386,0.000736
d,-1.895778,0.842987,2.001488,0.003006
d,67.274971,0.050017,1.412792,0.005171
d,0.213050,1.022146,2.351437,0.001608
d,13.317534,1.191240,1.767990,0.001728
d,32.997509,1.291610,1.379439,0.003590
d,16.428438,1.205050,1.548601,0.003591
d,3.626668,0.902322,2.180590,0.003174
d,-0.526388,0.451255,1.948759,0.004815
d,50.340237,0.539306,1.325075,0.002904
d,34.901474,0.202702,2.171443,0.006018
d,7.424590,0.518630,1.753876,0.008344
d,-3.688922,1.087658,2.229656,0.004659
d,-1.973339,1.060037,1.908426,0.005644
d,19.882931,0.184680,1.266706,0.003347
d,82.777161,0.228113,2.098855,0.001052
d,3.650521,0.235570,1.992639,0.001465
d,138.389099,0.642739,1.728968,0.001681
d,12.609197,0.596317,1.676803,0.004609
d,144.599319,0.525982,1.573597,0.003155
d,91.072746,0.656599,1.132634,0.001351
d,37.579567,0.794348,1.644359,0.004206
d,35.138908,0.576345,1.317186,0.003795
d,8.538503,0.463401,1.449760,0.005861
d,1.740859,0.549111,3.921935,0.003161
d,393.628601,0.224901,1.963658,0.000816
d,-0.147740,0.847559,3.949107,0.002659
d,6.948788,1.359275,1.685511,0.003240
d,5.886540,0.512039,1.526792,0.006113
d,1.216653,0.910225,1.681999,0.003819
d,3.447003,1.034709,1.564964,0.002927
d,0.505444,0.575682,3.031070,0.007008
d,-0.662528,0.604024,2.801103,0.002853
d,8.775846,0.713816,1.447365,0.004462
d,29.034573,0.457807,1.535614,0.001020
d,6.372578,0.957811,1.739926,0.004448
d,12.202565,0.523726,1.585115,0.002947
d,20.373753,0.712605,1.430849,0.006697
d,20.698990,0.652036,1.671870,0.004750
d,50.483765,0.765435,1.909073,0.001493
d,165.834656,0.138924,1.283064,0.007966
d,157.338730,0.392219,1.853492,0.001184
d,14.536282,1.909032,1.456922,0.001797
d,0.182826,0.413525,1.937397,0.004318
d,164.077438,0.505050,1.060355,0.002810
d,-2.717948,0.560205,1.374212,0.009340
d,204.018188,0.350441,0.818624,0.007607
d,-3.684736,0.676855,2.116805,0.005657
d,12.404346,1.152069,2.046135,0.003159
d,121.866508,0.570441,1.331371,0.003345
d,263.681213,0.181903,1.441279,0.003754
d,0.911432,0.736023,1.488342,0.005852
d,707.761475,0.212684,1.427162,0.003237
d,9630.481445,0.013632,2.148478,0.000361
d,1.581061,0.668347,2.762333,0.004044
d,636.090881,0.183699,2.005938,0.001945
d,9.855344,0.306385,1.310938,0.001216
d,49.077377,0.052921,1.065531,0.006237
d,-0.004224,0.908123,2.483757,0.003742
d,0.098295,1.121310,2.084643,0.002924
d,0.547277,0.455785,2.269002,0.006002
d,3.567013,0.271058,1.468143,0.011790
d,-0.278794,0.743639,1.795275,0.006530
d,9.974636,0.700379,1.620034,0.006565
d,56.813957,1.003326,2.009808,0.000604
d,1.411729,1.136442,2.000385,0.004329
d,-0.787532,0.489594,3.282203,0.002801
d,6.043961,0.901220,1.722208,0.004021
d,106.302101,0.604361,1.323605,0.002312
d,-0.906152,0.485775,1.851625,0.006114
d,381.292450,0.295296,1.086612,0.004019
d,2.225010,1.426235,2.389544,0.001700
d,6.222699,0.774848,2.358212,0.004508
d,86.482162,0.902250,1.576826,0.000661
d,-0.031331,2.064271,2.099379,0.002873
d,19.652584,0.577383,1.214256,0.009045
d,100.253105,0.581329,1.186528,0.005497
d,97.936188,0.569322,1.676929,0.003322
d,44.878258,0.557161,1.150127,0.004212
d,-0.564226,1.057461,2.514940,0.001234
d,19.021442,0.117614,2.028536,0.004451
d,464.382507,0.067064,0.975975,0.001669
d,2.395988,0.800851,1.952872,0.002912
d,36.244591,0.644899,1.797358,0.005191
d,147.325958,0.517390,1.188052,0.002900
d,9.797646,1.603651,2.158409,0.001699
d,26.401428,0.649643,1.260927,0.005971
d,-0.126387,2.242070,3.523448,0.002566
d,3.487869,0.811862,1.961977,0.002784
d,376.989471,0.261747,1.185559,0.003757
d,36.381992,0.529639,1.651898,0.007036
d,30.553226,0.568128,1.526215,0.007605
d,8.109356,1.005862,1.508785,0.003846
d,1.503928,0.907297,1.958860,0.002349
d,94.875130,0.498496,1.107126,0.006159
d,6.174914,0.177792,1.993682,0.017682
d,50.657917,0.643771,1.633681,0.005301
d,10.167637,0.752297,1.675830,0.003492
d,125.757973,0.590915,1.202957,0.001981
d,202.536377,0.534304,0.579619,0.002461
d,4.844864,1.352214,1.565324,0.003669
d,1802.576416,0.033004,2.028066,0.000479
d,1.311894,0.433004,2.405765,0.004803
d,457.019440,0.062932,1.937569,0.002351
d,-0.144372,3.216024,2.495195,0.000936
d,75.995155,0.829626,1.233075,0.002235
d,10.161045,1.263097,2.196815,0.001419
d,1.566312,1.220433,2.020858,0.003281
d,15.622910,0.960858,2.189199,0.000647
d,82.206573,0.583346,1.395253,0.002743
d,0.760222,1.436172,1.979349,0.001454
d,186.234253,0.417022,1.044015,0.007623
d,1.644297,0.767719,1.655012,0.002345
d,4.054668,0.752317,1.186246,0.002999
d,44.679890,0.907140,1.233932,0.004404
d,1.029408,1.092716,1.749101,0.004890
d,25.974709,0.488327,1.477631,0.006034
d,24.044456,0.680602,1.896467,0.004310
d,71.381653,0.762046,1.435982,0.002122
d,125.661674,0.126587,1.853993,0.008898
d,1.015714,0.981734,1.461280,0.004032
d,2.063839,0.617387,1.958473,0.004291
d,19.863012,0.948799,1.198668,0.002757
d,53.868469,0.657361,1.219965,0.003013
d,27.721487,0.572395,1.632378,0.003619
d,38.056549,0.985791,1.382229,0.003765
d,4.042059,0.576043,1.303297,0.002336
d,57.771320,0.678150,1.219713,0.004468
d,2.672513,0.473686,1.591329,0.003355
d,12.923247,1.590921,1.241621,0.002251
d,419.161377,0.186516,1.418037,0.001539
d,153.097855,0.350708,1.573618,0.005574
d,26.010145,1.644742,0.876264,0.001986
d,95.596550,0.391218,1.519507,0.001595
d,42.124969,0.548129,1.296574,0.003753
d,16.234051,0.334707,1.680710,0.005967
d,10.327210,0.809676,2.009789,0.003410
d,29.166208,0.596563,1.659822,0.004217
d,-1.924389,0.343752,3.563112,0.005663
d,-2.449041,0.812854,2.084383,0.005863
d,-1.447015,0.845050,2.334658,0.003788
d,85.451797,0.462896,1.188554,0.005386
d,43.405758,0.506381,1.644660,0.003279
d,2443.587158,0.053523,1.205598,0.000680
d,3.669525,0.665780,2.549877,0.004341
d,-5.012558,0.450753,1.875551,0.005335
d,-0.801184,1.368481,3.456566,0.000945
d,125.457031,0.562663,0.917896,0.003281
d,3.288865,0.403179,2.015931,0.007972
d,106.723434,0.513500,1.230778,0.006043
d,135.972244,0.591213,1.396474,0.002718
d,9.266040,0.655231,1.523528,0.007150
d,-8.684127,0.930981,2.478471,0.005153
d,4.807950,0.760420,0.834782,0.006933
d,3.417094,0.878137,2.077460,0.003295
d,4.289710,0.731724,1.546699,0.001703
d,-3.434263,0.481870,2.208452,0.004893
d,0.591842,1.531847,2.588440,0.002262
d,61.157974,0.865958,1.296934,0.003497
d,5.376633,1.228587,1.470750,0.002283
d,1.669024,0.972952,2.377527,0.002548
d,120.838249,0.502299,0.735687,0.003244
d,101.281441,0.688842,1.496773,0.002347
d,74.041443,0.413273,1.624405,0.007723
d,925.152832,0.151187,2.038373,0.000476
d,1644.710083,0.090652,1.681796,0.001223
d,156.702774,0.544728,1.075745,0.002427
d,109.920883,0.641461,1.353107,0.003265
d,12.157576,0.261836,1.426536,0.005994
d,1.558393,1.167432,2.455208,0.003723
d,31.247604,0.355404,1.707558,0.003791
d,85.678131,0.630113,1.333980,0.006051
d,-0.190178,0.959590,2.091861,0.002001
d,2.566982,0.690191,1.895006,0.001110
d,13.951765,0.671736,1.483677,0.006732
d,70.706665,0.654648,1.069342,0.004466
d,0.476798,1.920400,1.524398,0.003240
d,10.236468,0.128881,2.869862,0.002016
d,162.125259,0.330860,1.746755,0.002288
d,-0.226705,1.229660,2.558510,0.001022
d,2.528021,1.208743,1.715808,0.002237
d,-0.007844,3.416026,2.776475,0.001914
d,0.006798,1.082909,2.790820,0.001693
d,187.618271,0.334766,1.501976,0.003231
d,22.328594,1.451982,1.893981,0.002263
d,0.820732,1.329817,1.858044,0.002762
d,39.104443,1.222493,1.276104,0.002168
d,5.337343,1.004994,1.786662,0.003466
d,75.930046,0.326499,2.060613,0.000962
d,-0.404016,0.187462,3.463735,0.014589
d,32.845272,1.076990,1.465474,0.002497
d,62.411518,0.858154,1.586901,0.003410
d,213.079620,0.419770,1.314985,0.002578
d,24.004541,1.502930,1.342336,0.002687
d,10.628567,0.382329,1.660226,0.008777
d,15.058254,0.463604,1.662772,0.001546
d,-0.576247,0.614151,2.075228,0.006126
d,144.511780,0.460721,1.027615,0.003341
d,754.777588,0.181982,1.238509,0.001440
d,24.772532,0.876031,1.236983,0.002115
d,-19.920792,0.521771,2.672631,0.007910
d,-0.321648,0.469986,1.524854,0.012074
d,19.535248,0.102142,1.626758,0.005564
d,15.724018,0.658776,1.146437,0.004165
d,-0.677855,1.428499,2.999311,0.003542
d,29.553133,0.814014,1.497543,0.004184
d,99.399513,0.454937,1.189318,0.003166
d,114.127457,0.583734,1.361161,0.004055
d,40.475655,0.454278,1.634946,0.003420
d,8.899184,0.589835,1.779113,0.005032
d,614.874878,0.225879,1.452191,0.001698
d,13.279391,1.243839,2.110398,0.000512
d,29.773298,0.735523,1.552410,0.003646
d,57.031853,0.041413,1.596880,0.002696
d,10.027596,0.071465,2.524476,0.020859
d,5.190378,0.682447,1.832383,0.005949
d,453.934174,0.253526,1.403052,0.004629
d,-12.463765,0.626907,2.109437,0.005842
d,-1.440442,0.594614,3.746251,0.004068
d,2803.848145,0.040263,1.946797,0.001812
d,433.496460,0.240487,2.017949,0.000748
d,0.736582,1.031355,2.076037,0.002935
d,43.023663,0.391487,1.375742,0.006299
d,33.224094,0.938080,1.416918,0.002700
d,-2.677416,0.479959,1.864522,0.010173
d,1.573958,3.018472,1.223832,0.002654
d,4.214655,1.540626,1.728559,0.002897
d,2085.555664,0.073223,1.417042,0.001919
d,-0.911128,1.442943,2.250882,0.001247
d,66.351120,0.853640,1.710951,0.002579
d,1.545619,1.101350,1.852214,0.002708
d,60.714245,0.358413,0.737519,0.001991
d,48.581917,0.184037,1.557213,0.000925
d,69.310265,0.477950,1.754022,0.001216
d,133.152573,0.528381,1.528389,0.000734
d,112.641403,0.632697,1.463717,0.001349
d,-0.855185,0.941360,2.925435,0.004614
d,142.151093,0.860240,2.151938,0.000536
d,-1.528374,1.568888,1.952297,0.002776
d,115.892799,0.528909,1.375930,0.005432
d,238.945419,0.379917,0.841901,0.006650
d,-0.520507,1.935067,3.195263,0.001968
d,3.250693,0.310264,1.223259,0.000367
d,72.421074,0.525017,1.599863,0.004031
d,8.528199,0.728352,1.586637,0.003700
d,4.782338,0.425574,1.975727,0.005779
d,41.572426,0.631429,1.718277,0.005385
d,5.673719,1.847806,1.471185,0.001132
d,16.500229,1.431242,1.582965,0.001756
d,-0.363676,0.772527,2.336696,0.003375
d,26.327318,0.655470,1.572870,0.006504
d,0.650745,2.915325,2.587524,0.001246
d,4.888338,0.634587,1.954068,0.004635
d,-0.088217,2.605300,1.525516,0.001695
d,7.092446,0.501111,1.788712,0.003808
d,12.914392,0.427966,1.740455,0.006826
d,2.999012,0.794174,1.320647,0.002911
d,82.380211,0.646389,1.249945,0.003187
d,-4.193808,0.588978,2.210851,0.004387
d,39.679173,0.847457,1.476238,0.002381
d,-0.510444,1.630391,2.051878,0.000822
d,3.565079,0.322323,1.799001,0.012500
d,-2.021856,0.697003,1.760288,0.003983
d,76.728844,0.733417,1.839374,0.002004
d,144.682022,0.424902,1.215646,0.006304
d,1.433813,1.051031,1.974735,0.002997
d,3.962020,0.110142,1.583234,0.003820
d,27.452560,0.436022,1.779651,0.006799
d,0.517900,1.533103,1.466963,0.002862
d,69.728523,0.467095,1.455387,0.005125
d,-4.313174,0.443249,2.566828,0.008531
d,27.544344,0.842239,1.528751,0.002067
d,33.069321,0.841283,1.841693,0.001648
d,363.693268,0.172611,2.095660,0.001147
d,6.079151,0.085732,2.333360,0.005888
d,8.660294,0.669404,1.448123,0.003146
d,11.987130,0.081806,2.156629,0.004851
d,19.634401,0.922199,1.794531,0.003967
d,50.864311,0.593693,0.995731,0.004009
d,30.421753,1.294796,1.328410,0.003858
d,70.463966,0.551329,1.068995,0.002752
d,181.215424,0.415988,1.028881,0.004592
d,174.640366,0.445677,0.922262,0.004636
d,-1.067976,1.617037,4.191700,0.002937
d,9.738198,1.099717,1.651247,0.003902
d,93.861565,0.396966,2.087912,0.004648
d,787.480774,0.130683,2.118658,0.001480
d,318.557343,0.388044,1.696003,0.001046
d,31.486769,0.735804,1.542035,0.006119
d,31.993143,0.500466,1.633911,0.006616
d,99.283653,0.708742,1.850573,0.000853
d,2.014205,0.872491,1.434604,0.003942
d,8.590833,0.614662,1.973160,0.006377
d,6.964116,0.857766,2.111254,0.001349
d,38.629486,0.327843,1.900153,0.002965
d,-2.214587,0.552379,1.639348,0.005007
d,60.000210,0.966312,1.457400,0.002797
d,34.712078,0.460862,1.136208,0.006257
d,139.516876,0.353909,1.508035,0.001183
d,1.875518,1.417581,2.339468,0.001310
d,-3.996259,0.339707,2.542374,0.002980
d,1522.276001,0.101638,1.534017,0.002426
d,9.995487,0.236747,2.406006,0.001048
d,18.750311,0.918649,1.420270,0.004066
d,0.276686,2.067016,2.107225,0.001969
d,56.433865,0.600069,1.203111,0.005199
d,407.904205,0.195024,1.071030,0.002155
d,37.181938,1.164987,1.287613,0.002983
d,-0.852874,0.472121,3.014886,0.007229
d,90.055054,0.537510,1.414424,0.004973
d,259.437622,0.408319,1.442485,0.003820
d,326.961700,0.410143,2.063446,0.000595
d,418.780029,0.032231,2.003858,0.001875
d,139.795227,0.635461,0.899355,0.001655
d,4.340702,0.230453,2.833005,0.012127
d,29.081512,1.341021,1.329502,0.002175
d,0.228664,0.855119,2.486238,0.000856
d,16.623764,1.113411,1.746525,0.003699
d,4.905711,0.369759,3.232142,0.004060
d,0.055740,1.137944,1.381835,0.002034
d,150.880890,0.520419,1.661837,0.000366
d,-0.263192,1.126261,1.590393,0.001021
d,0.153923,3.449298,0.828082,0.000457
d,14.031471,0.293607,1.404094,0.006381
d,22.017399,0.495645,1.598146,0.007921
d,59.511436,0.619761,0.830599,0.007384
d,162.532547,0.123504,1.944107,0.003969
d,3.520829,0.467969,2.025200,0.005561
d,13.334311,0.561703,1.954021,0.004231
d,0.886573,0.692478,2.193407,0.002501
d,-0.383043,0.541955,1.901275,0.004444
d,50.665524,0.656558,1.611676,0.004518
d,6.389293,1.007967,1.704391,0.003305
d,25.360008,0.915896,1.403438,0.003125
d,1250.254517,0.117544,1.537183,0.001690
d,15.200162,1.018791,1.861827,0.003800
d,1.654271,0.408465,2.993046,0.009669
d,7.535556,0.424371,2.146554,0.005690
d,212.307373,0.042553,2.143345,0.001407
d,39.833248,0.704358,1.482383,0.003428
d,-1.384974,0.545002,1.666011,0.009881
d,-2.193469,0.291289,1.787672,0.005698
d,13.200951,1.354570,2.142618,0.000661
d,1.498988,0.468900,2.735049,0.001527
d,54.234985,0.531395,1.546275,0.002809
d,103.709824,0.687432,1.079806,0.001822
d,19.652584,0.577383,1.214256,0.009045
d,1.839904,1.116941,1.898207,0.006362
d,8.267212,0.379381,2.362008,0.002538
d,125.562851,0.134080,1.982848,0.002610
d,13.518353,0.579029,1.502780,0.005571
d,12.681616,0.877237,1.239801,0.003556
d,827.263733,0.109089,1.431936,0.003000
d,260.552185,0.069798,1.826668,0.005582
d,16.692074,0.863495,1.732938,0.003866
d,0.816875,0.934012,3.718558,0.007160
d,2.264758,1.788009,1.440725,0.001936
d,34.373074,0.819733,1.579908,0.004550
d,-0.098119,0.680541,2.623775,0.001143
d,12.060022,0.572747,0.913679,0.010714
d,-1.026913,1.233902,2.221050,0.003993
d,-0.063489,1.183016,1.760230,0.001961
d,24.021475,0.675310,1.603960,0.005185
d,17.736588,0.899932,1.742649,0.005612
d,-0.418405,1.207293,2.185916,0.004113
d,-2.567902,0.819470,2.356225,0.002061
d,35.089172,0.608504,1.206804,0.004626
d,20.433191,0.777043,1.863843,0.006114
d,110.694412,0.610748,1.449970,0.003989
d,-1.352806,0.610213,2.686493,0.001021
d,43.176331,1.019776,1.093179,0.002897
d,48.958199,0.992728,1.513780,0.001650
d,54.065853,0.828357,1.324669,0.001952
d,0.095975,1.317139,2.433271,0.002552
d,4.656952,0.755919,1.649521,0.003131
d,0.637851,0.884131,1.892395,0.001348
d,18.314869,0.582266,2.125504,0.002514
d,0.587457,1.059559,2.626240,0.004552
d,96.017937,0.622063,0.923880,0.005477
d,38.088612,1.259717,1.159807,0.002171
d,820.163635,0.168219,1.981024,0.001670
d,91.537369,0.610073,1.353629,0.001047
d,22.435566,0.758310,1.845141,0.006015
d,21.363033,1.412499,1.549067,0.001735
d,45.539394,1.083700,1.969575,0.000277
d,37.618137,0.676397,1.795714,0.002907
d,96.859665,0.467320,1.049229,0.003853
d,49.108044,0.726470,1.178531,0.005285
d,43.567856,0.873231,1.316169,0.003399
d,250.511536,0.518255,1.827915,0.001210
d,1135.832153,0.119881,1.578023,0.001974
d,50.728386,1.358250,1.498631,0.000955
d,46.268398,1.103405,1.550938,0.001023
d,68.275475,0.644206,1.353662,0.002803
d,5.918044,0.450046,1.989150,0.003893
d,4.406624,0.230320,1.226137,0.003197
d,18.644156,0.515731,1.495133,0.003118
d,50.840996,0.231223,1.774217,0.012192
d,21.468176,1.568578,1.614103,0.001897
d,148.428864,0.477365,1.629865,0.002580
d,79.649384,0.447947,1.746207,0.006260
d,0.292770,1.008106,1.176215,0.003296
d,118.370308,0.297059,1.917755,0.000489
d,34.953316,0.326656,1.385246,0.008037
d,28.640079,0.852525,1.765321,0.003534
d,0.789106,1.973036,1.711016,0.001061
d,159.819107,0.544524,1.066934,0.002975
d,8.129201,1.281658,1.340566,0.001831
d,-0.198396,1.098092,1.337472,0.003697
d,486.058105,0.268152,1.951289,0.000640
d,365.033539,0.303145,1.649317,0.004622
d,105.259163,0.364144,1.399894,0.006162
d,1.202153,0.867413,2.779301,0.002150
d,15.995041,1.356337,1.609499,0.001542
d,-0.415370,2.073172,4.262718,0.001029
d,-3.821444,1.399552,2.044483,0.002398
d,32.738766,0.888529,1.105012,0.005322
d,25.248610,0.024980,3.098838,0.001224
d,203.300415,0.145269,2.022972,0.005035
d,-0.479261,1.691591,2.916362,0.001444
d,23.031435,0.089851,2.081118,0.001756
d,22.304556,0.144268,1.781230,0.006120
d,123.665291,0.652946,0.880247,0.003993
d,85.819290,0.674758,1.231591,0.004422
d,158.434448,0.423846,1.143579,0.004546
d,139.535645,0.562623,1.010603,0.002641
d,1369.316406,0.098400,1.788836,0.001707
d,-0.910960,0.294164,1.861761,0.009082
d,180.171432,0.524656,1.846277,0.002706
d,-0.027628,1.034400,2.020345,0.001496
d,0.714159,1.201124,1.955499,0.001373
d,2.297637,0.354812,1.699828,0.007139
d,25.343628,0.673658,1.796543,0.005299
d,17.493057,0.561765,1.517405,0.000872
d,-0.226216,0.186982,2.199912,0.001348
d,18.596008,0.830457,1.535264,0.001321
d,0.716565,3.020995,1.409661,0.000747
d,144.289932,0.406402,1.453339,0.005883
d,151.133255,0.615510,1.546004,0.001392
d,0.710416,0.702006,2.158565,0.006826
d,32.443291,0.573900,1.621326,0.006786
d,-0.163614,0.658248,3.144236,0.001118
d,7.092444,1.144496,2.150460,0.000495
d,103.115524,0.829892,1.773413,0.000912
d,147.834335,0.551422,1.383729,0.002862
d,19.223152,1.145646,1.708405,0.004170
d,57.333870,0.837899,1.304550,0.002083
d,5211.428711,0.028125,1.915310,0.000908
d,72.867470,0.842814,1.156780,0.001296
d,-1.867207,0.451757,2.630480,0.010766
d,62.808208,0.860398,1.504203,0.003189
d,110.864601,0.662073,1.334602,0.003628
d,383.582550,0.228697,2.090528,0.000766
d,9.810250,1.211091,2.147739,0.000909
d,177.707306,0.425793,1.296628,0.003181
d,98.967682,0.553869,1.204221,0.004302
d,30.478697,0.346738,1.560867,0.002786
d,42.020950,0.634908,1.492181,0.004350
d,11.820519,1.508124,1.579055,0.001493
d,480.533539,0.203375,1.206887,0.003704
