# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
NGC 2627,08 37 15,-29 57 18,251.583,6.651,2034,11.81,0.086,8.566,,235.6,8.0,,,,
ESO 456-05,17 53 02,-29 53 36,0.009,-1.877,,,,,,,0.8,,,,
NGC 2533,08 07 04,-29 53 00,247.800,1.310,3379,12.79,0.047,8.876,,77.3,5.0,,,,
NGC 6360,17 24 27,-29 52 18,356.728,3.130,,,,,,,5.0,,,,
Czernik 32,07 50 30,-29 51 00,245.890,-1.732,4100,15.70,0.85,9.00,,-120,3.0,,,,
Blanco 1,00 04 07,-29 50 00,15.572,-79.261,269,7.18,0.010,7.796,B5,-264.3,70.0,+0.23,,+20.17,+3.00
ESO 430-09,08 02 24,-29 46 36,247.168,0.512,,,,,,,0.8,,,,
NGC 2571,08 18 56,-29 45 00,249.106,3.532,1342,11.06,0.137,7.488,B8,82.7,8.0,,,-3.86,+6.40
BH 245,17 46 16,-29 42 00,359.421,-0.518,1000,16.97,2.25,7.17,,-9.0,1.0,,,,
Ruprecht 129,17 47 18,-29 37 00,359.609,-0.667,,,,,,,4.0,,,,
ESO 456-72,18 12 29,-29 34 36,2.360,-5.402,,,,,,,1.4,,,,
Ruprecht 2,06 41 01,-29 33 00,238.774,-15.075,,,,,,,3.0,,,,
Ruprecht 134,17 52 43,-29 33 00,0.270,-1.643,3400,14.21,0.50,9.00,,-97.5,5.0,,,,
Dutra-Bica 16,17 53 58,-29 31 42,0.427,-1.867,,,,,,,0.7,,,,
NGC 2587,08 23 25,-29 30 30,249.459,4.472,2700,14.57,0.10,8.70,,210.5,2.0,,,-4.30,-2.50
Haffner 7,07 22 55,-29 30 00,242.673,-6.804,,,0.10,8.00,,,3.0,,,,
Trumpler 26,17 28 33,-29 30 00,357.524,2.840,,,,,,,6.0,,,,
Ruprecht 3,06 42 07,-29 27 00,238.776,-14.815,,,,,,,3.0,,,,
ESO 447-29,14 37 27,-29 24 42,329.060,28.027,,,,,,,12.0,,,,
ESO 442-04,12 34 05,-29 24 36,298.409,33.309,,,,,,,11.0,,,,
Dutra-Bica 25,17 58 55,-29 23 42,1.083,-2.732,,,,,,,0.7,,,,
Dutra-Bica 13,17 55 21,-29 23 24,0.699,-2.057,,,,,,,0.7,,,,
ESO 437-61,10 48 03,-29 23 24,273.062,26.230,,,,,,,5.0,,,,
ESO 464-09,20 59 37,-29 23 12,15.924,-39.435,,,,,,,4.0,,,,
ESO 425-15,06 14 35,-29 22 30,236.371,-20.356,,,,,,,6.0,,,,
Collinder 347,17 46 18,-29 20 00,359.738,-0.334,1514,14.50,1.16,7.08,,-8.8,10.0,,,,
Terzan-Ju 20,17 33 30,-29 19 24,358.264,2.035,,,,,,,2.0,,,,
Ruprecht 131,17 49 15,-29 15 00, 0.14,-0.84,600,9.20,0.10,9.17,,-8.8,13.2,,,-0.40,-2.41
Dutra-Bica 14,17 54 39,-29 13 36,0.763,-1.843,,,,,,,0.8,,,,
Dutra-Bica 3,17 50 12,-29 12 18,0.287,-0.996,,,,,,,0.8,,,,
ESO 436-02,10 14 03,-29 11 24,266.207,22.238,,,,,,,5.0,,,,
Ruprecht 22,07 29 18,-29 11 00,243.043,-5.426,,,,,,,3.0,,,,
ESO 425-06,06 04 50,-29 10 54,235.395,-22.287,,,,,,,6.0,,,,
Collinder 187,08 24 13,-29 10 00,249.277,4.811,,,,,,,5.0,,,,
NGC 6476,17 54 02,-29 08 42,0.805,-1.704,,,,,,,,,,,
Dutra-Bica 24,17 55 30,-29 01 36,1.029,-1.902,,,,,,,0.9,,,,
ESO 435-09,09 55 33,-28 59 12,262.719,19.834,,,,,,,14.0,,,,
Ruprecht 43,07 59 16,-28 53 59,246.06,0.39,1300,11.41,0.27,8.47,,8.8,18.0,,,-3.57,-0.08
Dutra-Bica 10,17 50 18,-28 53 42,0.565,-0.856,,,,,,,0.6,,,,
Dutra-Bica 7,17 50 06,-28 53 12,0.549,-0.814,,,,,,,0.8,,,,
Dutra-Bica 11,17 50 24,-28 53 06,0.584,-0.869,,,,,,,1.0,,,,
Dutra-Bica 8,17 50 05,-28 52 42,0.555,-0.806,,,,,,,0.7,,,,
Dutra-Bica 12,17 50 16,-28 51 42,0.590,-0.832,,,,,,,0.8,,,,
Dutra-Bica 58,17 45 00,-28 51 36,359.994,0.155,,,,,,,0.9,,,,
Ruprecht 20,07 26 43,-28 49 00,242.451,-5.752,1208,10.72,0.10,8.50,,-121.1,5.0,,,,
Dutra-Bica 15,17 51 57,-28 48 54,0.818,-1.125,,,,,,,0.7,,,,
Dutra-Bica 4,17 47 06,-28 46 54,0.300,-0.197,,,,,,,0.6,,,,
Dutra-Bica 6,17 47 10,-28 46 24,0.315,-0.205,,,,,,,0.7,,,,
Dutra-Bica 5,17 47 07,-28 46 06,0.314,-0.193,,,,,,,0.4,,,,
Collinder 351,17 49 00,-28 44 09,0.555,-0.529,1310,12.76,0.70,8.20,,-12.1,7.0,,,,
Ruprecht 133,17 52 29,-28 40 00,1.005,-1.150,,,,,,,5.0,,,,
BH 261,18 14 05,-28 38 00,3.360,-5.264,,,,,,,1.5,,,,
Dutra-Bica 30,17 56 56,-28 37 18,1.537,-1.970,,,,,,,0.7,,,,
NGC 5998,15 49 34,-28 35 18,343.817,19.809,,,,,,,4.0,,,,
Ruprecht 44,07 58 51,-28 35 00,245.746,0.482,4730,15.29,0.619,6.941,,39.8,10.0,,,-2.86,+1.13
Dutra-Bica 32,17 59 35,-28 33 18,1.885,-2.441,,,,,,,0.9,,,,
ASCC 87,17 02 59,-28 27 00,355.15,8.02,900,10.58,0.26,8.52,,125.6,66.0,,,+0.89,-2.79
Ruprecht 168,17 52 46,-28 26 00,1.238,-1.085,820,12.86,1.06,9.30,,-15.5,4.0,,,,
Ruprecht 150,07 05 55,-28 25 00,240.015,-9.647,,,,,,,2.0,,,,
Haffner 14,07 44 51,-28 22 00,243.986,-2.050,,,,,,,10.0,,,,
ESO 435-48,10 09 35,-28 21 30,264.820,22.289,,,,,,,4.0,,,,
Dutra-Bica 28,17 53 29,-28 20 54,1.391,-1.178,,,,,,,1.6,,,,
Ruprecht 12,07 07 19,-28 13 11,239.97,-9.29,900,9.93,0.05,7.56,,-145.3,20.4,,,-3.77,+01.34
ESO 429-02,07 33 23,-28 11 12,242.591,-4.164,,,,,,,5.0,,,,
ASCC 43,07 53 06,-28 10 12,244.73,-0.39,1000,10.31,0.10,8.28,,-6.8,42.0,,,-4.40,+0.47
Trumpler 31,17 59 49,-28 10 00,2.248,-2.293,986,11.05,0.35,8.87,,-39.4,5.0,,,,
NGC 2527,08 04 58,-28 08 48,246.087,1.855,601,9.01,0.038,8.649,,19.5,10.0,,,-4.09,+6.40
Dutra-Bica 18,17 42 48,-28 06 30,0.381,0.961,,,,,,,1.6,,,,
Haffner 22,08 12 27,-27 54 00,246.775,3.377,,,,,,,6.0,,,,
NGC 2483,07 55 39,-27 53 42,244.791,0.239,1659,12.04,0.303,7.089,,6.9,7.0,,,,
NGC 6520,18 03 24,-27 53 18,2.881,-2.844,1577,12.33,0.431,7.724,,-78.2,5.0,,,+0.69,-2.65
ESO 432-03,08 42 53,-27 52 24,250.652,8.887,,,,,,,8.0,,,,
Dutra-Bica 31,17 50 50,-27 47 06,1.578,-0.388,,,,,,,0.8,,,,
Haffner 11,07 35 25,-27 43 00,242.395,-3.544,6100,15.70,0.57,8.70,,-377.1,5.0,,,,
Dutra-Bica 23,17 44 05,-27 40 00,0.906,0.952,,,,,,,0.9,,,,
ESO 494-09,07 59 16,-27 35 06,244.944,1.084,,,,,,,3.0,,,,
Collinder 468,18 06 36,-27 28 00,3.600,-3.250,,,,,,,10.0,,,,
Czernik 37,17 53 16,-27 22 00,2.213,-0.638,,,,,,,3.0,,,,
vdBergh 83,06 40 00,-27 19 00,236.560,-14.401,,,,,,,25.0,,,,
ESO 493-03,07 39 45,-27 17 36,242.494,-2.499,1400,11.04,0.10,8.60,,-61.3,18.0,,,0.44,2.31
Haffner 21,08 01 09,-27 13 00,244.850,1.633,2951,12.68,0.106,7.920,,84.1,3.0,,,-3.52,+1.93
NGC 2453,07 47 35,-27 11 42,243.275,-0.940,2150,13.04,0.446,7.187,B0,-35.3,4.0,,,,
AM 1353-265,13 56 21,-27 10 00,320.281,33.509,,,,,,,1.3,,,,
ESO 522-16,18 19 05,-27 07 48,5.214,-5.537,,,,,,,1.6,,,,
Ruprecht 53,08 10 48,-27 00 00,245.81,3.56,1700,11.49,0.11,8.59,,105.6,21.6,,,-1.11,+00.32
Ruprecht 41,07 53 49,-26 58 00,243.786,0.371,,,,,,,2.0,,,,
Ruprecht 57,08 15 05,-26 58 00,246.316,4.378,,,,,,,5.0,,,,
ESO 524-01,18 56 39,-26 57 48,9.063,-12.991,2800,13.17,0.30,9.51,,-629.4,6.0,,,,
Dutra-Bica 40,17 53 16,-26 46 54,2.717,-0.341,,,,,,,0.6,,,,
Ruprecht 49,08 03 15,-26 46 00,244.716,2.268,1823,12.11,0.259,7.930,,72.1,2.0,,,,
ESO 489-01,06 04 58,-26 44 00,232.928,-21.419,,,,,,,11.0,,,,
ESO 502-19,11 08 07,-26 43 48,276.027,30.688,,,,,,,3.0,,,,
Dutra-Bica 33,17 45 32,-26 41 48,1.902,1.183,,,,,,,0.8,,,,
Ruprecht 27,07 37 30,-26 31 48,241.58,-2.57,560,9.21,0.15,8.41,,-25.1,21.6,,,-3.65,+02.65
ASCC 32,07 01 58,-26 30 00,237.88,-9.61,750,9.62,0.08,8.18,,-125.2,60.0,,,-3.39,+1.97
NGC 2467,07 52 26,-26 26 12,243.172,0.378,1355,11.71,0.338,7.103,O5,8.9,14.0,,+66.00,-5.82,+1.63
Haffner 18,07 52 39,-26 23 00,243.151,0.447,6028,15.79,0.611,6.893,,47.0,2.0,,,,
Ruprecht 36,07 48 23,-26 18 00,242.593,-0.333,1681,11.64,0.166,7.606,,-9.8,5.0,,,,
Haffner 19,07 52 47,-26 17 00,243.081,0.524,5094,14.82,0.416,6.934,,46.6,2.0,,+68.00,,
Collinder 302,16 26 08,-26 15 00,351.583,15.733,,,,,,,500.0,,,,
Ruprecht 18,07 24 39,-26 13 00,239.928,-4.941,1056,12.29,0.700,7.648,,-91.0,7.0,-0.01,,,
Dutra-Bica 36,17 45 42,-26 12 54,2.333,1.402,,,,,,,0.7,,,,
Dutra-Bica 37,17 45 38,-26 12 12,2.335,1.421,,,,,,,1.1,,,,
Dutra-Bica 49,17 58 34,-26 06 54,3.890,-1.031,,,,,,0.9,,,,
ESO 486-54,05 20 11,-26 02 54,228.581,-30.681,,,,,,,5.0,,,,
ESO 485-20,04 50 04,-25 57 24,226.162,-37.144,,,,,,,5.0,,,,
Haffner 25,07 48 40,-25 57 00,242.323,-0.102,,,,,,,2.0,,,,
Ruprecht 42,07 57 36,-25 55 00,243.326,1.639,,,,,,,4.0,,,,
Trumpler 9,07 55 40,-25 53 00,243.072,1.285,2289,12.57,0.248,8.001,,51.3,5.0,,,,
NGC 6698,18 48 04,-25 52 42,9.255,-10.792,,,,,,,10.0,,,,
Ruprecht 13,07 08 03,-25 52 00,237.906,-8.102,,,,,,,5.0,,,,
ESO 518-03,16 47 04,-25 48 42,355.061,12.428,,,,,,,5.0,,,,
ASCC 95,18 16 04,-25 42 35, 6.15,-4.27,1500,11.87,0.32,8.04,,-111.7,38.4,,,-1.16,-1.94
NGC 2354,07 14 10,-25 41 24,238.368,-6.792,4085,14.01,0.307,8.126,,-483.1,18.0,,+33.4,-2.44,-2.96
Ruprecht 32,07 45 10,-25 32 00,241.566,-0.573,5346,15.19,0.50,7.08,,-53.5,5.0,,,,
Haffner 16,07 50 20,-25 28 00,242.097,0.467,3165,13.04,0.175,7.078,,25.8,5.0,,,-3.26,+0.99
Dutra-Bica 46,17 52 45,-25 25 18,3.829,0.450,,,,,,,0.6,,,,
Waterloo 3,07 55 06,-25 21 54,242.562,1.444,5200,14.63,0.34,,B2,131.0,2.0,,,,
Dutra-Bica 59,17 37 41,-25 15 00,2.201,3.445,,,,,,,1.9,,,,
Ruprecht 137,18 00 17,-25 14 00,4.848,-0.927,1450,12.88,0.67,8.90,,-23.5,5.0,,,,
ASCC 33,07 03 10,-25 02 59,236.67,-8.73,800,9.67,0.05,7.26,,-121.4,108.0,,15.00,-3.78,+3.78
Berkeley 75,06 48 59,-23 59 30,234.30,-11.12,9800,15.20,0.08,9.48,,-1890.1,3.0,-0.68,,,
NGC 2362,07 18 41,-24 57 18,238.179,-5.548,1389,11.01,0.095,6.914,O8,-134.3,5.0,,+42.2,-2.29,+3.03
Dutra-Bica 44,17 46 35,-24 53 24,3.569,1.920,,,,,,,0.8,,,,
Dutra-Bica 45,17 47 18,-24 53 12,3.656,1.783,,,,,,,1.5,,,,
Ruprecht 169,17 59 23,-24 46 00,5.151,-0.518,1390,12.76,0.66,9.00,,-12.6,3.0,,,,
ESO 520-20,17 43 36,-24 43 06,3.362,2.587,,,,,,,0.7,,,,
Ruprecht 136,17 59 18,-24 42 00,5.199,-0.469,,,,,,,3.0,,,,
Ruprecht 138,17 59 54,-24 41 00,5.282,-0.579,930,10.40,0.18,9.30,,-9.4,6.0,,,,
NGC 2448,07 44 34,-24 40 48,240.76,-0.26,1040,10.15,0.02,7.19,,-4.7,36.0,,15.00,-3.80,+04.69
Ivanov 6,07 24 14,-24 38 00,238.480,-4.283,,,,,,,4.5,,,,
ESO 521-38,18 09 25,-24 31 48,6.476,-2.389,1800,11.96,0.22,8.10,,-74.7,10.0,,,0.41,-2.71
ASCC 37,07 18 03,-24 28 47,237.69,-5.46,1600,11.02,0.00,8.73,,-152.2,19.2,,,-3.04,+0.81
Grasdalen 1,16 25 54,-24 27 00,352.641,17.349,,,,,,,2.0,,,,
Collinder 121,06 54 12,-24 25 00,235.702,-9.991,471,8.45,0.028,7.054,B3,-81.7,89.0,,+26.0,-5.68,+3.70
ESO 522-05,18 12 53,-24 21 48,7.001,-3.001,660,14.74,1.82,9.51,,-34.6,4.0,,,,
NGC 6530,18 04 31,-24 21 30,6.083,-1.331,1330,11.65,0.333,6.867,O5,-30.9,14.0,,-30.00,+0.58,-2.09
Ruprecht 29,07 41 18,-24 21 00,240.104,-0.744,,,,,,,5.0,,,,
NGC 2482,07 55 12,-24 15 30,241.626,2.035,1343,10.93,0.093,8.604,,47.7,10.0,+0.12,,-4.93,+1.60
Trumpler 6,07 26 25,-24 12 00,238.331,-3.641,1100,10.67,0.15,8.00,,-69.9,6.0,,,,
NGC 2352,07 13 05,-24 02 18,236.774,-6.263,,,,,,,6.0,,,,
ESO 486-45,05 16 43,-24 02 12,226.072,-30.809,,,,,,,3.0,,,,
Trumpler 7,07 27 22,-23 57 00,238.213,-3.332,1474,11.67,0.266,7.430,,-85.7,5.0,,+34.00,,
NGC 2447,07 44 30,-23 51 24,240.039,0.135,1037,10.22,0.046,8.588,B9,2.4,10.0,,+21.7,-4.85,+4.47
Bochum 14,18 02 00,-23 41 00,6.388,-0.499,578,13.48,1.508,6.996,,-5.0,2.0,,,,
Dutra-Bica 60,17 39 20,-23 41 00,3.731,3.959,,,,,,,1.0,,,,
Ruprecht 149,06 52 30,-23 40 00,234.346,-10.327,,,,,,,5.0,,,,
Collinder 367,18 09 43,-23 39 35, 7.27,-2.02,1200,11.48,0.35,6.84,B1,-42.3,48.0,,-3.17,1.16,-2.03
ESO 525-08,19 27 17,-23 34 48,15.117,-18.027,1640,12.19,0.36,9.00,,-507.5,5.0,,,,
Ruprecht 139,18 01 01,-23 31 48, 6.41,-0.22,550,9.17,0.15,9.05,,-2.1,15.6,,,-1.10,-2.19
Ruprecht 23,07 30 41,-23 23 00,238.077,-2.394,,,,,,,4.0,,,,
Ruprecht 25,07 36 47,-23 23 00,238.754,-1.169,,,,,,,2.0,,,,
NGC 6546,18 07 22,-23 17 48,7.328,-1.382,938,11.38,0.491,7.849,,-22.6,14.0,,,-2.41,-0.70
Ruprecht 17,07 23 36,-23 11 00,237.128,-3.731,,,,,,,3.0,,,,
NGC 6514,18 02 42,-22 58 18,7.086,-0.287,816,10.15,0.190,7.368,O5,-4.1,28.0,,-22.00,+0.06,-0.90
ASCC 39,07 33 00,-22 57 00,237.95,-1.72,1500,10.88,0.00,8.71,,-45.0,36.0,,,-3.37,+1.85
Juchert 12,07 20 57,-22 52 00,236.562,-4.122,,,,,,,2.0,,,,
ESO 561-05,07 59 19,-22 41 30,240.776,3.655,,,,,,,7.0,,,,
Haffner 5,07 18 02,-22 40 00,236.071,-4.625,,,,,,,6.0,,,,
NGC 6531,18 04 13,-22 29 24,7.677,-0.355,1205,11.28,0.281,7.070,B0,-7.5,14.0,,-16.00,+2.28,-3.05
Ruprecht 39,07 52 19,-22 27 00,239.733,2.396,,,,,,,2.0,,,,
NGC 6469,17 53 13,-22 19 11, 6.55,1.94,550,9.63,0.30,8.36,B8,18.6,18.0,,,3.04,-1.20
ASCC 93,18 08 13,-22 15 36, 8.33,-1.04,2500,12.86,0.28,7.22,,-45.4,32.4,,-23.33,-2.18,-1.80
Platais 5,06 09 36,-22 09 06,228.801,-18.758,272,7.17,,7.78,,-87.5,300.0,,,-6.32,+7.27
NGC 6583,18 15 49,-22 08 12,9.283,-2.534,2040,13.5,0.51,9.00,,-90.,1.0,,,,
NGC 6573,18 13 41,-22 07 06,9.063,-2.091,,,,,,,1.0,,,,
Ruprecht 33,07 45 58,-21 57 00,238.557,1.382,,,,,,,9.0,,,,
Ruprecht 9,07 02 07,-21 55 00,233.725,-7.570,,,,,,,1.0,,,,
ESO 589-26,18 02 14,-21 54 54,7.952,0.328,,,,,,,2.5,,,,
NGC 2367,07 20 06,-21 52 54,235.596,-3.837,2004,12.54,0.331,6.737,B3,-134.1,5.0,,+41.00,,
NGC 6568,18 12 43,-21 36 00, 9.41,-1.64,1000,10.77,0.25,8.71,,-28.6,26.4,,,-1.43,-1.71
Ruprecht 19,07 25 51,-21 35 00,235.961,-2.518,,,,,,,5.0,,,,
vdBergh 113,18 08 52,-21 25 12, 9.13,-0.77,3470,14.50,0.58,7.50,,-46.6,27.6,,-16.00,-0.26,-2.47
ESO 570-12,11 12 12,-21 19 18,274.069,35.927,,,,,,,13.0,,,,
NGC 2455,07 49 01,-21 18 06,238.354,2.320,,,,,,,5.0,,,,
ASCC 36,07 14 31,-21 07 12,234.31,-4.64,750,9.38,0.00,8.51,,-60.7,21.6,,,-2.15,-0.87
Ruprecht 146,18 52 31,-21 05 00,14.104,-9.668,,,,,,,4.0,,,,
NGC 2384,07 25 10,-21 01 18,235.390,-2.393,2116,12.42,0.255,6.904,B0,-88.4,5.0,,+51.00,,
NGC 2383,07 24 40,-20 56 54,235.270,-2.461,1655,11.75,0.213,7.167,A3,-71.1,5.0,,,,
ESO 559-13,07 28 42,-20 49 30,235.609,-1.573,,,,,,,10.0,,,,
Tombaugh 2,07 03 05,-20 49 00,232.832,-6.880,13260,12.81,0.08,9.01,,-390.5,3.0,-0.36,+114.0,,
Ruprecht 11,07 07 21,-20 48 00,233.267,-5.981,,,,,,,5.0,,,,
NGC 2287,06 46 01,-20 45 24,231.020,-10.444,693,9.29,0.027,8.385,B3,-125.6,39.0,+0.04,+25.8,-4.38,-0.90
NGC 7826,00 05 17,-20 41 30,61.875,-77.653,,,,,,,20.0,,,,
NGC 2421,07 36 13,-20 36 42,236.271,0.069,2181,13.10,0.453,7.367,,2.6,7.0,,,,
Tombaugh 1,07 00 29,-20 34 00,232.334,-7.314,3000,13.63,0.40,9.00,,-381.9,5.0,,,,
Czernik 31,07 36 59,-20 32 00,236.290,0.264,,,,,,,5.0,,,,
Ruprecht 40,07 33 28,-20 31 00,235.875,-0.447,,,,,,,2.0,,,,
Ruprecht 34,07 45 55,-20 23 00,237.195,2.157,,,,,,,6.0,,,,
Collinder 394,18 52 28,-20 19 00,14.883,-9.236,690,9.92,0.235,7.803,,-110.7,22.0,,+6.0,-2.42,-7.20
Ruprecht 38,07 50 30,-20 11 00,237.564,3.186,,,,,,,2.0,,,,
Ruprecht 10,07 06 25,-20 05 00,232.553,-5.854,,,,,,,4.0,,,,
NGC 6716,18 54 34,-19 54 06,15.395,-9.593,789,10.17,0.220,7.961,B5,-131.5,10.0,,,-0.87,-3.30
NGC 6595,18 17 04,-19 51 54,11.422,-1.713,,,,,,,4.0,,,,
Auner 1,07 04 16,-19 45 00,231.997,-6.155,8900,15.74,0.32,9.51,,-954.2,3.0,,,,
Trumpler 33,18 24 42,-19 43 00,12.397,-3.228,1755,12.33,0.357,7.685,,-98.8,5.0,,,,
Ruprecht 62,08 32 32,-19 41 00,242.501,11.782,,,,,,,6.0,,,,
Dias 5,18 17 38,-19 40 12,11.65,-1.73,1760,12.25,0.33,7.14,,-53.1,14.4,,-5.25,1.92,-0.37
Ruprecht 15,07 19 33,-19 38 00,233.544,-2.903,,,,,,,2.0,,,,
Ruprecht 16,07 23 10,-19 28 00,233.796,-2.072,,,,,,,4.0,,,,
Ruprecht 46,08 02 10,-19 28 00,238.365,5.907,752,9.60,0.07,9.60,,77.4,3.0,-0.04,,,
ESO 587-04,17 04 22,-19 27 18,2.728,13.066,,,,,,,2.0,,,,
Bochum 6,07 32 00,-19 25 00,234.745,-0.218,2500,14.19,0.71,7.00,,-15.1,10.0,,,,
ASCC 97,18 36 57,-19 13 11,14.16,-5.56,800,10.76,0.40,7.88,,-77.5,51.6,,,-2.09,-6.21
NGC 2432,07 41 16,-19 08 59,235.58,1.82,2030,11.91,0.12,8.18,,64.5,24.0,,14.40,-3.68,+01.62
IC 4725,18 31 47,-19 07 00,13.702,-4.434,620,10.44,0.476,7.965,B5,-47.9,29.0,+0.17,+2.4,-4.01,-5.70
Ruprecht 157,08 29 49,-19 06 00,241.639,11.585,,,,,,,6.0,,,,
NGC 2509,08 00 48,-19 03 06,237.840,5.848,912,10.29,0.15,9.90,,,6.0,,,,
Markarian 38,18 15 17,-19 00 00,11.983,-0.931,1471,12.09,0.405,6.882,O9,-23.9,2.0,,-18.0,+0.07,-2.20
NGC 6494,17 57 04,-18 59 06,9.894,2.834,628,10.09,0.356,8.477,B9,31.0,29.0,+0.09,-8.6,+1.37,-1.20
Turner 3,18 17 34,-18 51 50,12.147,-1.416,1790,11.26,,7.46,,-44.2,2.0,,,,
Turner 2,18 17 12,-18 49 30,12.110,-1.324,1190,11.49,0.36,8.00,,-27.5,7.0,,,,
ASCC 99,18 49 04,-18 43 47,15.89,-7.91,280,7.70,0.15,8.71,,-38.5,27.6,,-31.29,+6.90,-2.50
Turner 4,18 17 08,-18 42 00,12.139,-1.268,2330,11.84,,7.00,,-51.6,3.5,,,,
NGC 2204,06 15 33,-18 39 54,226.014,-16.107,2629,12.36,0.085,8.896,,-729.4,10.0,-0.33,+59.00,,
Ruprecht 5,06 55 14,-18 36 00,230.004,-7.554,,,,,,,2.0,,,,
ESO 559-02,07 18 05,-18 35 42,232.462,-2.725,,,,,,,1.0,,,,
NGC 6737,19 02 20,-18 32 59,17.434,-10.670,2120,13.99,0.76,8.70,,-392.5,8.0,,,,
Mayer 3,07 30 06,-18 32 00,233.755,-0.187,,,,,,,4.0,,,,
NGC 6554,18 08 59,-18 26 06,11.762,0.648,,,,,,,20.0,,,,
NGC 6603,18 18 26,-18 24 24,12.860,-1.306,3600,15.23,0.79,8.30,,-82.1,6.0,,,+0.72,+0.10
Haffner 24,07 28 56,-18 19 00,233.432,-0.326,,,,,,,2.0,,,,
Collinder 469,18 16 15,-18 16 00,12.733,-0.871,1481,12.15,0.418,7.799,,-22.5,3.0,,,,
