# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
Ruprecht 145,18 50 34,-18 13 11,16.51,-8.01,770,10.21,0.25,8.64,,-107.3,44.4,,,6.43,-4.51
NGC 3520,11 07 08,-18 01 24,270.774,38.250,,,,,,,0.6,,,,
NGC 2017,05 39 17,-17 50 48,221.623,-23.708,,,,,,,6.0,,,,
NGC 2479,07 55 04,-17 42 35,235.98,5.37,1200,10.71,0.10,8.99,,112.3,18.0,,,-0.94,+01.93
NGC 6507,17 59 50,-17 27 00,11.554,3.028,1230,13.08,0.85,8.60,,65.0,14.0,,,,
Ruprecht 37,07 49 54,-17 17 00,234.984,4.529,,,,,,,4.0,,,,
NGC 6647,18 32 49,-17 13 42,15.246,-3.564,2200,13.39,0.54,9.20,,-136.8,13.0,,,,
Bochum 4,07 31 37,-17 11 36,232.753,0.774,2291,13.75,0.63,7.00,,30.9,5.0,,,-2.59,+0.80
NGC 2358,07 16 55,-17 08 59,231.05,-2.30,630,9.06,0.02,8.72,,-25.3,32.4,,,-0.40,-1.17
NGC 6613,18 19 58,-17 06 06,14.183,-1.011,1296,11.96,0.450,7.223,B3,-22.9,5.0,,-14.0,-1.02,-1.33
Haffner 9,07 24 30,-17 00 00,231.771,-0.628,,,,,,,4.0,,,,
Bochum 5,07 31 00,-16 56 00,232.454,0.770,872,10.30,0.194,7.545,,11.7,15.0,,,-2.67,+1.43
Haffner 23,07 09 18,-16 55 12,230.00,-3.81,1000,10.31,0.10,8.84,,-66.4,24.0,,,-3.70,-0.63
NGC 6645,18 32 37,-16 53 00,15.784,-3.587,1245,11.59,0.36,8.60,B9,-77.9,14.0,,,,
NGC 6561,18 10 29,-16 43 47,13.42,1.16,3400,13.90,0.40,6.92,,68.8,21.6,,-17.93,0.02,+00.02
NGC 6596,18 17 31,-16 38 59,14.30,-0.28,1100,10.67,0.15,8.60,,-5.4,20.4,,,2.94,-2.47
NGC 2428,07 39 25,-16 31 48,233.08,2.72,2100,11.77,0.05,8.68,,99.7,14.4,,,-2.02,+01.12
Berkeley 25,06 41 16,-16 29 12,226.61,-9.69,11300,15.79,0.17,9.60,,-1902.0,2.0,-0.38,,,
NGC 2430,07 39 35,-16 21 00,232.94,2.85,650,9.59,0.17,8.68,,32.3,14.4,,,-4.07,+01.28
Ruprecht 45,07 59 36,-16 18 00,235.322,7.028,,,,,,,9.0,,,,
Ruprecht 147,19 16 40,-16 17 59,20.99,-12.81,175,6.68,0.15,9.39,,-38.8,147.6,,41.00,-0.56,-27.74
Ruprecht 151,07 41 16,-16 17 24,233.09,3.23,2100,12.23,0.20,8.49,,118.3,24.0,,,-4.30,+02.10
NGC 6618,18 20 47,-16 10 18,15.095,-0.746,1300,15.25,1.51,6.00,O5,-16.9,25.0,,,+1.79,-1.96
Ruprecht 171,18 32 12,-16 03 00,16.480,-3.116,1140,10.66,0.12,9.51,,-62.0,12.0,,,,
Waterloo 8,07 30 12,-15 50 00,231.397,1.130,,,,,,,12.0,,,,
Ruprecht 26,07 37 11,-15 38 59,232.05,2.69,1440,11.10,0.10,7.49,,67.6,24.0,,15.00,-3.38,-1.34
NGC 2360,07 17 43,-15 38 30,229.807,-1.426,1887,11.72,0.111,8.749,B8,-47.0,13.0,-0.15,+29.00,-3.51,+8.07
NGC 2414,07 33 12,-15 27 12,231.412,1.946,3455,14.27,0.508,6.976,,117.3,5.0,,+64.5,-3.44,+0.66
Czernik 29,07 28 18,-15 24 00,230.798,0.935,4168,14.59,0.48,8.30,,68.0,5.0,,,,
Haffner 10,07 28 36,-15 23 00,230.817,1.007,3700,15.21,0.52,9.40,,65.0,3.0,,,,
Ivanov 7,07 30 40,-15 18 00,230.983,1.484,,,,,,,2.8,,,,
Waterloo 7,07 26 08,-15 05 36,230.279,0.622,2800,13.54,0.42,,,30.4,2.6,,,,
Alessi 17,07 35 24,-15 05 30,231.352,2.585,,,,,,,2.5,,,,
ASCC 94,18 15 36,-14 59 23,15.54,0.92,850,10.27,0.20,8.78,,13.6,30.0,,-26.00,+0.38,-0.08
Haffner 4,07 06 12,-14 59 00,227.940,-3.586,,,,,,,5.0,,,,
NGC 6605,18 18 21,-14 56 42,15.900,0.350,,,,,,,15.0,,,,
NGC 2425,07 38 22,-14 52 54,231.50,3.31,3400,13.62,0.31,9.40,,196.3,5.0,,,,
NGC 2437,07 41 46,-14 48 36,231.858,4.064,1375,11.17,0.154,8.390,B9,97.4,20.0,+0.05,+48.1,-4.54,+0.58
Dolidze 28,18 25 24,-14 39 00,16.961,-1.015,,,,,,,5.0,,,,
NGC 2422,07 36 35,-14 29 00,230.958,3.130,490,8.67,0.070,7.861,B3,26.8,25.0,,,-7.15,+1.10
Kronberger 2,18 21 19,-14 17 12,16.819,0.029,,,,,,,5.0,,,,
Ruprecht 1,06 36 25,-14 10 48,223.99,-9.69,1100,10.67,0.15,8.76,,-185.1,30.0,,,2.20,+00.10
Basel 11a,07 17 06,-13 58 00,228.256,-0.776,1520,10.91,0.0,8.30,,-20.6,5.0,,,,
NGC 2401,07 29 24,-13 58 00,229.665,1.854,6300,15.11,0.36,7.40,,203.8,2.0,,,,
NGC 2423,07 37 06,-13 52 18,230.484,3.537,766,9.72,0.097,8.867,B5,47.3,12.0,+0.14,+18.1,+0.55,-2.50
NGC 6611,18 18 48,-13 48 24,16.954,0.793,1749,13.64,0.782,6.884,O6,24.2,6.0,,+23.5,+0.07,-0.28
ASCC 40,07 33 35,-13 45 36,229.97,2.84,700,9.57,0.11,8.58,,34.7,21.6,,,-2.07,+2.70
NGC 2318,06 59 27,-13 41 54,226.048,-4.460,,,,,,,12.0,,,,
Ruprecht 8,07 01 42,-13 35 00,226.194,-3.920,,,,,,,3.0,,,,
Trumpler 32,18 17 30,-13 21 00,17.207,1.288,1720,13.16,0.64,8.48,,38.7,5.0,,,,
Ruprecht 6,06 56 00,-13 17 00,225.297,-5.021,,,,,,,1.0,,,,
NGC 2374,07 23 56,-13 15 48,228.415,1.020,1468,11.11,0.090,8.463,,26.1,12.0,,+27.2,-4.65,-1.10
Berkeley 33,06 57 42,-13 13 00,225.424,-4.622,7000,15.00,0.30,8.90,,-564.1,4.0,,,,
NGC 2345,07 08 18,-13 11 36,226.580,-2.314,2251,13.67,0.616,7.853,A2,-90.9,12.0,,,,
NGC 6639,18 30 57,-13 08 59,18.91,-1.51,700,9.85,0.20,8.86,,-18.4,21.6,,7.00,2.31,-1.50
Haffner 6,07 20 06,-13 08 00,227.861,0.258,3054,13.82,0.450,8.826,,13.8,6.0,,,,
Berkeley 36,07 16 06,-13 06 00,227.376,-0.587,6140,15.30,0.40,9.50,,-62.,5.0,,,,
NGC 2413,07 33 07,-13 02 23,229.28,3.09,440,8.34,0.04,8.46,,23.7,24.0,,,-2.01,+00.99
NGC 7134,21 48 55,-12 58 24,41.980,-45.141,,,,,,,1.0,,,,
NGC 7005,21 01 57,-12 52 50,35.810,-34.711,,,,,,,1.5,,,,
NGC 2539,08 10 37,-12 49 06,233.705,11.112,1363,10.93,0.082,8.570,A0,262.7,9.0,+0.13,+29.3,-4.07,-1.83
Ruprecht 24,07 31 54,-12 45 00,228.888,2.971,,,,,,,7.0,,,,
NGC 6994,20 58 55,-12 38 00,35.714,-33.935,620,9.18,0.07,9.40,,-346.1,9.0,,,,
Haffner 8,07 23 24,-12 20 00,227.533,1.345,1182,10.46,0.03,9.15,,27.7,5.0,+0.06,,,
Dias 6,18 30 27,-12 19 40,19.588,-1.022,1580,13.81,0.91,8.78,,-28.2,8.0,,,,
Ruprecht 141,18 31 19,-12 19 11,19.69,-1.20,5500,15.47,0.57,6.92,,-115.2,13.2,,30.70,0.57,-2.68
NGC 6604,18 18 03,-12 14 30,18.247,1.695,1696,14.15,0.970,6.810,O9,50.2,5.0,,+18.00,-0.02,-2.74
Ruprecht 142,18 32 12,-12 14 00,19.870,-1.358,1735,14.02,0.91,8.60,,-41.1,6.0,,,,
Ruprecht 143,18 32 36,-12 08 00,20.004,-1.399,,,,,,,5.0,,,,
Melotte 71,07 37 30,-12 04 00,228.949,4.498,3154,12.84,0.113,8.371,,247.4,7.0,-0.30,,,
NGC 6631,18 27 11,-12 01 48,19.482,-0.177,2600,13.47,0.45,8.60,,-8.0,6.0,,,,
NGC 1498,04 00 18,-12 00 54,203.623,-43.330,,,,,,,2.0,,,,
NGC 6625,18 22 49,-11 57 42,19.043,0.799,1335,14.38,1.21,8.70,,18.6,16.0,,,,
ASCC 92,17 51 07,-11 52 48,15.35,7.63,650,9.84,0.25,9.01,,86.3,36.0,,,-7.68,-4.91
NGC 2396,07 28 01,-11 43 12,227.52,2.63,588,9.00,0.05,8.52,,27.0,26.4,,17.70,-2.00,-1.40
Ruprecht 135,17 58 12,-11 39 00,16.421,6.234,1850,14.75,1.10,8.70,,200.9,4.0,,,,
Berkeley 76,07 06 24,-11 37 00,225.099,-1.998,2505,14.25,0.73,8.90,,-87.3,5.0,,,,
vdBergh 92,07 03 54,-11 29 23,224.57,-2.49,1500,11.65,0.25,7.59,,-65.2,24.0,,17.33,-5.22,+02.52
Ruprecht 144,18 33 34,-11 25 00,20.749,-1.278,,,0.32,8.18,,,5.0,,,,
Collinder 466,07 07 18,-10 49 00,224.224,-1.472,,,,,,,4.0,,,,
NGC 2506,08 00 01,-10 46 12,230.564,9.935,3460,12.95,0.081,9.045,,597.0,12.0,-0.37,+94.00,,
Melotte 72,07 38 24,-10 41 00,227.841,5.361,3000,13.00,0.20,8.78,,280.3,5.0,,,,
Collinder 465,07 07 12,-10 37 00,224.059,-1.406,,,,,,,9.0,,,,
NGC 2343,07 08 06,-10 37 00,224.268,-1.173,1056,10.48,0.118,7.104,A0,-21.6,5.0,-0.30,,-2.09,-1.41
Collinder 467,07 39 18,-10 33 00,227.832,5.619,,,,,,,2.0,,,,
Ruprecht 4,06 48 54,-10 32 00,222.047,-5.339,4975,14.60,0.36,8.90,,-462.9,5.0,,,,
NGC 2351,07 13 31,-10 29 12,224.768,0.068,,,,,,,4.0,,,,
Alessi 10,20 04 44,-10 28 47,31.64,-20.98,513,9.23,0.22,8.71,,-183.7,20.4,,,0.70,-7.92
NGC 6649,18 33 27,-10 24 12,21.635,-0.785,1369,14.41,1.201,7.566,,-18.8,5.0,,-8.8,,
NGC 2368,07 21 06,-10 22 18,225.536,1.771,,,0.12,7.70,,,3.0,,,,
NGC 2353,07 14 30,-10 16 00,224.685,0.384,1119,10.47,0.072,7.974,B0,7.5,18.0,,+38,-2.49,+0.00
NGC 2335,07 06 49,-10 01 42,223.600,1417,11.98,0.393,8.210,B9,-29.3,6.0,-0.03,,-0.91,-3.18
Ruprecht 170,18 25 12,-10 00 00,21.050,1.200,,,,,,,8.0,,,,
Czernik 30,07 31 18,-09 58 00,226.369,4.173,6200,14.80,0.26,9.40,,451.2,3.0,,,,
vdBergh 80,06 30 48,-09 40 00,219.268,-8.944,,,0.38,6.65,,,2.0,,,,
NGC 2225,06 26 36,-09 38 18,218.780,-9.860,3200,13.60,0.35,9.10,,-550,2.5,,,,
NGC 6694,18 45 18,-09 23 00,23.879,-2.914,1600,12.85,0.589,7.931,B5,-81.3,7.0,,-9.2,-1.73,-0.91
Alessi 21,07 10 47,-09 20 24,223.44, 0.00,500,8.71,0.07,7.47,, 0.0,60.0,,38.80,-3.65,+03.04
NGC 6728,18 58 44,-08 58 12,25.74,-5.68,1000,10.47,0.15,8.93,,-99.0,15.6,,,2.25,-0.80
Dolidze 27,16 36 30,-08 57 00,7.616,24.664,,,,,,,25.0,,,,
Ivanov 4,07 00 32,-08 52 00,221.857,-2.028,,,,,,,4.0,,,,
NGC 2349,07 10 48,-08 35 36,222.780,0.351,,,,,,,10.0,,,,
Dias 3,07 10 31,-08 25 39,222.600,0.365,4650,15.30,0.64,9.15,,29.6,16.0,,,,
Trumpler 34,18 39 48,-08 25 00,24.119,-1.264,1738,12.94,0.56,8.10,,-38.3,5.0,,,,
NGC 2323,07 02 42,-08 23 00,221.672,-1.331,929,10.50,0.213,8.096,B6,-21.6,14.0,,+9.5,+0.61,-1.90
NGC 6664,18 36 42,-08 13 00,23.945,-0.491,1164,12.53,0.709,7.162,B3,-10.0,12.0,,+17.8,-0.31,-2.31
Mamajek 2,17 38 00,-08 06 00,17.036,12.315,173,7.00,0.26,8.1,,36.9,20.0,,-18.9,-12.10,-20.60
NGC 2364,07 20 46,-07 33 00,223.003,3.020,,,,,,,6.0,,,,
NGC 2215,06 20 49,-07 17 00,215.993,-10.102,1293,11.49,0.300,8.369,,-226.8,7.0,,,+2.61,-5.60
NGC 2306,06 54 28,-07 13 11,219.70,-2.62,1200,10.55,0.05,8.85,,-54.9,20.4,,,-0.98,+01.91
NGC 2309,06 56 03,-07 10 30,219.845,-2.245,2511,13.08,0.35,8.40,,-98.4,5.0,,,,
NGC 2302,06 51 55,-07 05 00,219.297,-3.117,1182,11.00,0.207,7.847,,-64.3,5.0,,,,
ASCC 24,06 28 44,-07 01 11,216.64,-8.23,400,8.44,0.14,6.96,,-57.3,42.0,,16.35,-5.55,-4.05
Dolidze 31,18 34 54,-06 51 00,24.954,0.534,,,,,,,18.0,,,,
Dolidze 29,18 31 24,-06 38 00,24.745,1.405,,,,,,,18.0,,,,
Berkeley 73,06 22 00,-06 21 00,215.278,-9.424,6850,14.5,0.10,9.36,,-1121.6,2.0,,,,
NGC 6705,18 51 05,-06 16 12,27.307,-2.776,1877,12.69,0.426,8.302,B8,-90.9,13.0,+0.13,+34.4,-4.63,-1.10
NGC 6683,18 42 13,-06 12 42,26.355,-0.788,1197,12.06,0.54,7.00,B4,-16.5,3.0,,,,
ASCC 30,06 56 59,-06 12 36,219.09,-1.60,800,9.98,0.15,8.20,,-22.3,31.2,,,-2.89,+0.60
Haffner 3,07 04 00,-06 08 00,219.820,-0.014,,,,,,,5.0,,,,
Dolidze 30,18 32 54,-06 02 00,25.450,1.351,,,,,,,18.0,,,,
Stephenson 2,18 39 22,-06 01 18,25.845,0.501,,,,,,,4.0,,,,
NGC 1980,05 35 24,-05 54 35,209.51,-19.60,550,8.86,0.05,6.67,B1,-184.5,25.2,,25.34,0.83,-0.36
Basel 1,18 48 12,-05 51 00,27.355,-1.947,2178,13.18,0.482,7.893,B4,-74.0,5.0,,,,
NGC 6980,20 52 48,-05 50 12,42.105,-29.578,,,,,,,10.0,,,,
NGC 2548,08 13 43,-05 45 00,227.873,15.393,769,9.53,0.031,8.557,A0,204.1,30.0,+0.08,+5.00,-0.83,+1.90
NGC 2338,07 07 47,-05 43 12,219.885,1.012,,,,,,,3.0,,,,
ASCC 38,07 27 10,-05 33 00,221.97,5.36,500,8.71,0.07,8.60,,46.7,31.2,,,-6.44,+1.34
NGC 1976,05 35 16,-05 23 24,209.010,-19.386,399,8.16,0.05,7.11,O6,-132.4,47.0,,,+1.67,-0.30
NGC 6704,18 50 45,-05 12 18,28.219,-2.218,2974,14.59,0.717,7.863,B2,-115.1,5.0,,,,
NGC 2250,06 33 49,-05 05 06,215.468,-6.238,,,,,,,3.0,,,,
Pfleiderer 2,17 58 39,-05 04 18,22.282,9.327,,,,,,,2.0,,,,
Bochum 3,07 03 24,-05 03 00,218.789,0.350,1762,11.97,0.24,7.89,,10.8,4.0,,,,
Andrews-Lindsay 5,18 44 19,-04 55 48,27.734,-0.667,,,,,,,2.3,,,,
NGC 2232,06 28 01,-04 50 48,214.432,-7.542,359,7.87,0.030,7.727,B3,-47.1,45.0,,+20.00,-3.37,-3.10
NGC 1977,05 35 24,-04 49 12,208.48,-19.10,500,8.65,0.05,7.08,,-163.6,25.2,,25.26,2.42,-1.90
NGC 6682,18 39 37,-04 48 48,27.302,0.427,,,,,,,19.0,,,,
NGC 2219,06 23 44,-04 40 36,213.960,-8.288,,,,,,,6.0,,,,
NGC 2311,06 57 46,-04 36 36,217.75,-0.70,2000,12.12,0.20,8.60,,-24.4,18.0,,,-3.20,+02.77
Berkeley 39,07 46 42,-04 36 00,223.462,10.095,4780,13.77,0.12,9.90,,837.8,7.0,-0.17,+55.00,,
Dolidze 34,18 42 00,-04 35 00,27.778,0.005,,,,,,,5.0,,,,
Dolidze 33,18 40 36,-04 24 00,27.781,0.399,,,,,,,5.0,,,,
NGC 1981,05 35 09,-04 24 00,208.06,-18.96,400,8.16,0.05,7.50,B1,-130.0,30.0,,27.94,1.01,+01.14
ASCC 27,06 53 52,-04 23 23,217.11,-1.46,1200,10.68,0.09,8.75,,-30.6,24.0,,,-2.36,-3.72
Czernik 26,06 30 58,-04 11 00,214.336,-6.456,6700,14.30,0.05,9.11,,-753.3,5.0,,,,
Trumpler 35,18 42 54,-04 08 00,28.281,0.011,1206,14.18,1.218,7.862,B4,0.2,5.0,,-4.7,,
Dolidze 32,18 40 24,-04 06 00,28.025,0.581,,,,,,,7.0,,,,
Ivanov 9,06 59 43,-04 04 00,217.494,-0.016,,,,,,,1.0,,,,
NGC 6863,20 05 07,-03 33 18,38.278,-17.996,,,,,,,2.0,,,,
NGC 2184,06 11 13,-03 26 24,211.41,-10.52,640,9.28,0.08,8.37,,-116.9,24.0,,,-3.59,-1.93
Whiting 1,02 02 57,-03 15 10,161.618,-60.636,,,,,,,1.2,,,,
Berkeley 77,07 21 27,-03 14 01,219.253,5.181,4630,13.70,0.12,8.80,,418.1,5.0,,,,
NGC 2286,06 47 40,-03 08 54,215.306,-2.273,2897,12.84,0.170,8.883,,-114.9,14.0,,,+2.08,-2.48
Sigma Orionis,05 38 42,-02 36 00,206.811,-17.346,,,,,,,10.0,,,+1.68,+1.73
ASCC 19,05 27 46,-01 58 48,204.88,-19.47,350,7.75,0.01,7.64,,-116.7,96.0,,19.30,+0.61,-0.68
ASCC 29,06 54 18,-01 39 00,214.72,-0.12,750,9.53,0.05,8.06,,-1.6,26.4,,13.50,-0.49,-0.35
NGC 2260,06 38 03,-01 28 24,212.718,-3.650,,,,,,,18.0,,,,
Berkeley 79,18 45 12,-01 13 00,31.138,0.833,2300,15.50,1.19v,7.81,,33.4,6.0,,,,
Berkeley 80,18 54 22,-01 13 00,32.183,-1.206,3300,14.80,1.10,8.48,,-69.5,4.0,,,,
Berkeley 37,07 20 24,-01 06 00,217.230,5.935,4555,13.65,0.12,8.95,,471.0,4.0,,,,
Collinder 70,05 35 31,-01 06 00,205.03,-17.35,391,8.09,0.04,6.71,,-116.6,180.0,,19.49,0.36,-0.68
ASCC 28,06 54 03,+00 10 11,213.38,0.50,800,9.67,0.05,8.34,,7.0,36.0,,22.70,-1.68,-1.10
Dolidze 23,06 43 12,-00 00 00,211.962,-1.845,,,,,,,10.0,,,,
ASCC 41,07 47 02,+00 01 11,219.35,12.35,370,7.90,0.02,8.44,,79.1,43.2,,,+1.93,-3.93
Berkeley 20,05 33 00,+00 13 00,203.483,-17.373,8400,14.99,0.12,9.78,,-2508.2,2.0,-0.75,,,
Berkeley 34,07 00 24,-00 15 00,213.731,2.108,7280,15.80,0.45,9.45,,238.,2.0,,,,
Dolidze 25,06 45 06,+00 18 00,211.942,-1.273,6304,16.22,0.717,6.840,,-140.1,20.0,,+71.00,+1.81,-1.98
Collinder 401,19 38 24,+00 20 00,38.651,-10.262,,,,,,,1.0,,,,
Bochum 2,06 48 54,+00 23 00,212.302,-0.390,2661,14.70,0.831,6.665,,-18.1,1.5,,+66.3,,
NGC 2112,05 53 45,+00 24 36,205.872,-12.615,850,11.60,0.63,9.301,,-185.6,18.0,-0.11,+39.00,,
NGC 6859,20 03 49,+00 26 36,41.812,-15.836,,,,,,,8.0,,,,
NGC 2301,06 51 45,+00 27 36,212.558,0.279,872,9.79,0.028,8.216,B8,4.2,14.0,+0.06,+21.2,-1.32,-4.90
NGC 6735,19 00 37,-00 28 30,34.402,-1.825,,,,,,,12.0,,,,
Berkeley 81,19 01 36,-00 31 00,34.505,-2.068,3000,15.49,1.00,9.00,,-108.3,5.0,,,,
ASCC 22,06 14 31,+00 38 23,208.12,-7.92,1500,11.50,0.20,8.42,,-206.7,21.6,,,-5.01,-3.88
ASCC 18,05 26 09,+00 49 12,202.08,-18.49,500,8.68,0.06,7.12,,-158.6,74.4,,13.39,+0.89,-0.02
Berkeley 24,06 37 42,-00 55 00,210.592,-2.636,,,,,,,5.0,,,,
NGC 6775,19 16 48,-00 55 24,36.657,-5.217,,,,,,,2.0,,,,
King 23,07 21 48,-00 59 00,215.529,7.202,3113,12.95,0.16,8.95,,390.3,5.0,,,,
NGC 2324,07 04 07,+01 02 42,213.447,3.297,3805,13.30,0.127,8.630,B9,218.8,7.0,-0.52,+41.81,-1.70,-2.77
NGC 2189,06 12 09,+01 03 54,207.464,-8.240,,,,,,,7.0,,,,
NGC 2262,06 39 38,+01 08 36,210.567,-2.104,3600,14.50,0.55,9.00,,-130,2.0,,,,
vdBergh 85,06 46 54,+01 20 00,211.228,-0.401,,,,,,,4.0,,,,
Collinder 350,17 48 07,+01 21 00,26.79,14.69,280,8.38,0.37,8.61,,71.0,66.0,,,-3.55,+00.02
ASCC 106,19 43 08,+01 36 00,40.34,-10.73,500,9.58,0.35,8.42,,-93.1,79.2,,,-1.16,-2.74
Dolidze 24,06 44 12,+01 36 00,210.610,-0.693,,,,,,,14.0,,,,
ASCC 20,05 28 44,+01 37 47,201.67,-17.53,450,8.39,0.04,7.35,,-135.5,90.0,,17.62,-0.09,+0.51
Alessi 15,06 43 04,+01 40 19,210.489,-1.099,,,,,,,0.9,,,,
Collinder 115,06 46 30,+01 46 00,210.797,-0.292,,,,,,,10.0,,,,
ASCC 16,05 24 35,+01 47 59,200.98,-18.35,460,8.59,0.09,6.93,,-144.8,74.4,,0.75,+0.75,-0.18
Berkeley 42,19 05 06,+01 53 00,36.167,-2.178,1826,13.66,0.760,9.325,,-69.4,5.0,,,,
Saurer 1,07 18 18,+01 53 12,214.686,7.388,13200,15.97,0.12,9.85,,1697.4,4.0,,,,
Collinder 110,06 38 24,+02 01 00,209.649,-1.978,1950,13.00,0.50,9.15,,-67.3,18.0,,,+0.59,-1.41
ASCC 35,07 12 39,+02 07 11,213.46,5.68,800,9.70,0.06,8.49,,79.2,48.0,,,-2.68,-0.94
Alessi 16,06 43 35,+02 10 24,210.102,-0.755,,,,,,,0.5,,,,
Chereul 3,21 20 12,+02 12 54,54.198,-31.329,89,4.75,,,,-46.3,,,,,
Collinder 91,06 21 42,+02 22 00,207.415,-5.522,,,,,,,13.0,,,,
Berkeley 35,07 09 55,+02 44 00,212.602,5.351,,,,,,,2.0,,,,
Collinder 96,06 30 18,+02 52 00,207.964,-3.386,962,11.50,0.510,7.031,,-56.8,12.0,,,+0.44,-1.64
Collinder 359,18 01 06,+02 54 00,29.750,12.517,249,7.58,0.193,7.506,B3,54.0,240.0,,,+0.14,-9.10
Berkeley 28,06 52 12,+02 56 00,210.407,1.507,2557,14.40,0.761,7.846,,67.2,3.0,,,,
NGC 2319,07 00 43,+03 02 23,211.28,3.44,1100,10.36,0.05,8.61,,66.0,24.0,,,-0.54,-1.55
vdBergh 1,06 37 00,+03 04 00,208.555,-1.808,1687,13.34,0.710,8.025,,-53.2,5.0,,+18.9,+3.76,-4.78
Berkeley 30,06 57 42,+03 13 00,210.780,2.858,4790,14.95,0.50,8.48,B0,238.8,3.0,,,,
NGC 2270,06 43 58,+03 28 48,208.98,-0.07,1400,10.92,0.06,8.64,,-1.7,38.4,,40.00,-0.17,-3.12
ASCC 31,07 00 53,+03 30 00,210.89,3.69,600,9.36,0.15,8.63,,38.6,20.4,,,+1.20,-1.38
